Date,Open,High,Low,Close
16-May-2013,7638.02,7696.99,7634.37,7673.00,
17-May-2013,7689.83,7708.25,7647.33,7695.35,
20-May-2013,7710.42,7748.63,7649.35,7662.25,
21-May-2013,7661.48,7682.15,7597.91,7609.99,
22-May-2013,7632.92,7653.91,7554.45,7575.63,
23-May-2013,7538.14,7553.51,7407.61,7422.53,
24-May-2013,7454.06,7471.90,7383.79,7448.78,
27-May-2013,7462.76,7570.25,7446.24,7556.31,
28-May-2013,7565.41,7610.48,7538.40,7591.26,
29-May-2013,7604.13,7604.13,7540.76,7571.19,
30-May-2013,7558.44,7593.29,7544.45,7584.36,
31-May-2013,7569.99,7569.99,7432.78,7441.89,
3-June-2013,7463.18,7463.18,7376.48,7408.14,
4-June-2013,7410.56,7465.12,7386.54,7398.23,
5-June-2013,7388.67,7412.91,7362.34,7403.22,
6-June-2013,7372.42,7433.47,7346.20,7397.86,
7-June-2013,7390.82,7453.46,7342.21,7351.09,
10-June-2013,7392.58,7406.08,7299.24,7323.22,
11-June-2013,7301.50,7308.77,7195.18,7207.09,
12-June-2013,7189.52,7203.97,7139.54,7164.91,
13-June-2013,7100.35,7123.03,7064.71,7073.15,
14-June-2013,7127.37,7207.22,7126.43,7193.12,
17-June-2013,7212.07,7248.04,7151.69,7242.83,
18-June-2013,7241.67,7272.05,7209.40,7219.21,
19-June-2013,7216.05,7246.03,7195.43,7238.94,
20-June-2013,7147.20,7147.20,7039.71,7047.04,
21-June-2013,7031.82,7078.09,6991.10,7036.48,
24-June-2013,7003.97,7003.97,6892.27,6914.47,
25-June-2013,6928.24,6980.69,6868.43,6924.33,
26-June-2013,6944.66,6954.40,6887.95,6897.10,
27-June-2013,6964.11,7001.82,6939.00,6993.04,
28-June-2013,7078.31,7173.02,7071.98,7164.06,
1-July-2013,7166.52,7273.63,7166.52,7267.11,
2-July-2013,7262.87,7286.86,7224.72,7231.21,
3-July-2013,7182.84,7182.84,7104.73,7114.39,
4-July-2013,7150.65,7197.65,7128.79,7182.30,
